x1,x2,x3,x4,x5
1.0,1.0,0.1594182925778853,1.0,1.0
2.0,1.0,0.22685725655702896,2.0,1.0
8.0,1.0,0.7998911277634317,3.0,1.0
3.0,1.0,0.37304322671457096,4.0,1.0
1.0,2.0,0.25151087207516615,5.0,1.0
6.0,1.0,0.764566572506435,6.0,1.0
2.0,2.0,0.39567112844918223,7.0,1.0
7.0,1.0,0.8493160831690075,8.0,1.0
6.0,2.0,0.9142194133990024,9.0,1.0
4.0,1.0,0.3792606694248373,10.0,1.0
5.0,1.0,0.6760208022778242,11.0,1.0
3.0,2.0,0.2121339575350948,12.0,1.0
1.0,3.0,0.11414827817373982,13.0,1.0
2.0,3.0,0.18972274580409507,14.0,1.0
3.0,3.0,0.6501503454682778,15.0,1.0
6.0,3.0,0.6805895434799221,16.0,1.0
2.0,4.0,0.46448874028412424,17.0,1.0
8.0,2.0,0.9390656091353329,18.0,1.0
3.0,4.0,0.21485609202704842,19.0,1.0
8.0,3.0,0.8518402442500446,20.0,1.0
6.0,4.0,0.8949469485346588,21.0,1.0
7.0,2.0,0.8130920723831674,22.0,1.0
0.0,1.0,0.029398679859295545,23.0,1.0
6.0,5.0,0.6247636040013815,24.0,1.0
8.0,4.0,0.942312021750966,25.0,1.0
4.0,2.0,0.8255674666871365,26.0,1.0
4.0,3.0,0.44882948493220004,27.0,1.0
8.0,5.0,0.8751001386378722,28.0,1.0
3.0,5.0,0.40490520061883406,29.0,1.0
4.0,4.0,0.3121416028827759,30.0,1.0
4.0,5.0,0.5241072199010698,31.0,1.0
7.0,3.0,0.9393470519003447,32.0,1.0
2.0,5.0,0.22447174592609054,33.0,1.0
7.0,4.0,0.8107933370039727,34.0,1.0
7.0,5.0,0.9154030372519045,35.0,1.0
5.0,2.0,0.7928724639073731,36.0,1.0
6.0,6.0,0.6669387360715403,37.0,1.0
0.0,2.0,0.014411732010330741,38.0,1.0
3.0,6.0,0.3113841751168183,39.0,1.0
3.0,7.0,0.48269177617285064,40.0,1.0
2.0,6.0,0.5496870116927224,41.0,1.0
3.0,8.0,0.3522771951752978,42.0,1.0
0.0,3.0,0.027555631887957458,43.0,1.0
6.0,7.0,0.6373806363821792,44.0,1.0
5.0,3.0,0.6609651373602438,45.0,1.0
1.0,4.0,0.11752924225462513,46.0,1.0
6.0,8.0,0.7200494714458844,47.0,1.0
2.0,7.0,0.058958589395360785,48.0,1.0
4.0,6.0,0.4625897324176129,49.0,1.0
1.0,5.0,0.16050080347430293,50.0,1.0
4.0,7.0,0.42621146284379896,51.0,1.0
5.0,4.0,0.4641963178354078,52.0,1.0
6.0,9.0,0.9250136629139195,53.0,1.0
0.0,4.0,0.07106560735292966,54.0,1.0
1.0,6.0,0.1690426793176427,55.0,1.0
4.0,8.0,0.2612153202864493,56.0,1.0
8.0,6.0,0.9273635378616735,57.0,1.0
8.0,7.0,0.8387938862456493,58.0,1.0
8.0,8.0,0.7846084096457049,59.0,1.0
7.0,6.0,0.8533679065466305,60.0,1.0
4.0,9.0,0.6257422624764528,61.0,1.0
3.0,9.0,0.5126328360316634,62.0,1.0
5.0,5.0,0.5796015981108922,63.0,1.0
0.0,5.0,0.29027538030637595,64.0,1.0
6.0,10.0,0.670286366230613,65.0,1.0
5.0,6.0,0.719702684964107,66.0,1.0
4.0,10.0,0.5167127628806,67.0,1.0
2.0,8.0,0.34735213358301265,68.0,1.0
0.0,6.0,0.06600981885121808,69.0,1.0
3.0,10.0,0.4849108354541597,70.0,1.0
0.0,7.0,0.057085227594680266,71.0,1.0
