ID,S
1,1
2,-1
3,3
4,4
5,2
6,-3
7,-2
8,-4
9,9
10,10
11,8
12,12
13,13
14,11
15,6
16,7
17,5
18,-9
19,-8
20,-10
21,-6
22,-5
23,-7
24,-12
25,-11
26,-13
27,27
28,28
29,26
30,30
31,31
32,29
33,24
34,25
35,23
36,36
37,37
38,35
39,39
40,40
41,38
42,33
43,34
44,32
45,18
46,19
47,17
48,21
49,22
50,20
51,15
52,16
53,14
54,-27
55,-26
56,-28
57,-24
58,-23
59,-25
60,-30
61,-29
62,-31
63,-18
64,-17
65,-19
66,-15
67,-14
68,-16
69,-21
70,-20
71,-22
72,-36
73,-35
74,-37
75,-33
76,-32
77,-34
78,-39
79,-38
80,-40
81,81
82,82
83,80
84,84
85,85
86,83
87,78
88,79
89,77
90,90
91,91
92,89
93,93
94,94
95,92
96,87
97,88
98,86
99,72
100,73
101,71
102,75
103,76
104,74
105,69
106,70
107,68
108,108
109,109
110,107
111,111
112,112
113,110
114,105
115,106
116,104
117,117
118,118
119,116
120,120
121,121
122,119
123,114
124,115
125,113
126,99
127,100
128,98
129,102
130,103
131,101
132,96
133,97
134,95
135,54
136,55
137,53
138,57
139,58
140,56
141,51
142,52
143,50
144,63
145,64
146,62
147,66
148,67
149,65
150,60
151,61
152,59
153,45
154,46
155,44
156,48
157,49
158,47
159,42
160,43
161,41
162,-81
163,-80
164,-82
165,-78
166,-77
167,-79
168,-84
169,-83
170,-85
171,-72
172,-71
173,-73
174,-69
175,-68
176,-70
177,-75
178,-74
179,-76
180,-90
181,-89
182,-91
183,-87
184,-86
185,-88
186,-93
187,-92
188,-94
189,-54
190,-53
191,-55
192,-51
193,-50
194,-52
195,-57
196,-56
197,-58
198,-45
199,-44
200,-46
201,-42
202,-41
203,-43
204,-48
205,-47
206,-49
207,-63
208,-62
209,-64
210,-60
211,-59
212,-61
213,-66
214,-65
215,-67
216,-108
217,-107
218,-109
219,-105
220,-104
221,-106
222,-111
223,-110
224,-112
225,-99
226,-98
227,-100
228,-96
229,-95
230,-97
231,-102
232,-101
233,-103
234,-117
235,-116
236,-118
237,-114
238,-113
239,-115
240,-120
241,-119
242,-121
243,243
244,244
245,242
246,246
247,247
248,245
249,240
250,241
251,239
252,252
253,253
254,251
255,255
256,256
257,254
258,249
259,250
260,248
261,234
262,235
263,233
264,237
265,238
266,236
267,231
268,232
269,230
270,270
271,271
272,269
273,273
274,274
275,272
276,267
277,268
278,266
279,279
280,280
281,278
282,282
283,283
284,281
285,276
286,277
287,275
288,261
289,262
290,260
291,264
292,265
293,263
294,258
295,259
296,257
297,216
298,217
299,215
300,219
