ID,S
1,0
2,0
3,1
4,0
5,2
6,3
7,4
8,0
9,3
10,2
11,5
12,1
13,6
14,7
15,8
16,0
17,7
18,6
19,9
20,5
21,10
22,11
23,12
24,4
25,13
26,14
27,15
28,16
29,17
30,18
31,19
32,0
33,11
34,10
35,16
36,9
37,14
38,13
39,20
40,12
41,21
42,22
43,23
44,24
45,25
46,26
47,27
48,1
49,28
50,29
51,30
52,31
53,32
54,33
55,34
56,35
57,36
58,37
59,38
60,39
61,40
62,41
63,42
64,0
65,18
66,17
67,24
68,15
69,22
70,21
71,35
72,9
73,29
74,28
75,31
76,30
77,43
78,44
79,45
80,2
81,26
82,25
83,46
84,23
85,47
86,48
87,49
88,20
89,50
90,51
91,52
92,53
93,54
94,55
95,56
96,3
97,57
98,58
99,59
100,60
101,61
102,62
103,63
104,64
105,65
106,66
107,67
108,68
109,69
110,70
111,71
112,8
113,72
114,73
115,74
116,75
117,76
118,77
119,78
120,79
121,80
122,81
123,82
124,83
125,84
126,85
127,86
128,0
129,33
130,32
131,39
132,28
133,37
134,36
135,64
136,10
137,48
138,47
139,60
140,46
141,58
142,57
143,87
144,3
145,44
146,43
147,68
148,59
149,66
150,65
151,88
152,61
153,62
154,89
155,90
156,91
157,92
158,93
159,94
160,2
161,51
162,50
163,53
164,52
165,95
166,96
167,97
168,49
169,98
170,99
171,100
172,101
173,102
174,103
175,104
176,45
177,105
178,106
179,107
180,108
181,109
182,110
183,111
184,112
185,113
186,114
187,115
188,116
189,117
190,118
191,119
192,1
193,41
194,40
195,120
196,38
197,121
198,122
199,123
200,11
201,124
202,125
203,126
204,127
205,128
206,129
207,130
208,27
209,131
210,132
211,133
212,134
213,135
214,136
215,137
216,138
217,139
218,140
219,141
220,142
221,143
222,144
223,145
224,4
225,146
226,147
227,148
228,149
229,150
230,151
231,152
232,153
233,154
234,155
235,156
236,157
237,158
238,159
239,160
240,161
241,162
242,163
243,164
244,165
245,166
246,167
247,168
248,169
249,170
250,171
251,172
252,173
253,174
254,175
255,176
256,0
257,55
258,54
259,75
260,29
261,73
262,72
263,79
264,32
265,77
266,76
267,108
268,74
269,106
270,105
271,161
272,21
273,70
274,69
275,101
276,67
277,99
278,98
279,153
280,63
