ID,S
1,1
2,1.0
3,2.0
4,1.0
5,3.0
6,2.0
7,3.0
8,1.0
9,4.0
10,3.0
11,5.0
12,2.0
13,5.0
14,3.0
15,4.0
16,1.0
17,5.0
18,4.0
19,7.0
20,3.0
21,8.0
22,5.0
23,7.0
24,2.0
25,7.0
26,5.0
27,8.0
28,3.0
29,7.0
30,4.0
31,5.0
32,1.0
33,6.0
34,5.0
35,9.0
36,4.0
37,11.0
38,7.0
39,10.0
40,3.0
41,11.0
42,8.0
43,13.0
44,5.0
45,12.0
46,7.0
47,9.0
48,2.0
49,9.0
50,7.0
51,12.0
52,5.0
53,13.0
54,8.0
55,11.0
56,3.0
57,10.0
58,7.0
59,11.0
60,4.0
61,9.0
62,5.0
63,6.0
64,1.0
65,7.0
66,6.0
67,11.0
68,5.0
69,14.0
70,9.0
71,13.0
72,4.0
73,15.0
74,11.0
75,18.0
76,7.0
77,17.0
78,10.0
79,13.0
80,3.0
81,14.0
82,11.0
83,19.0
84,8.0
85,21.0
86,13.0
87,18.0
88,5.0
89,17.0
90,12.0
91,19.0
92,7.0
93,16.0
94,9.0
95,11.0
96,2.0
97,11.0
98,9.0
99,16.0
100,7.0
101,19.0
102,12.0
103,17.0
104,5.0
105,18.0
106,13.0
107,21.0
108,8.0
109,19.0
110,11.0
111,14.0
112,3.0
113,13.0
114,10.0
115,17.0
116,7.0
117,18.0
118,11.0
119,15.0
120,4.0
121,13.0
122,9.0
123,14.0
124,5.0
125,11.0
126,6.0
127,7.0
128,1.0
129,8.0
130,7.0
131,13.0
132,6.0
133,17.0
134,11.0
135,16.0
136,5.0
137,19.0
138,14.0
139,23.0
140,9.0
141,22.0
142,13.0
143,17.0
144,4.0
145,19.0
146,15.0
147,26.0
148,11.0
149,29.0
150,18.0
151,25.0
152,7.0
153,24.0
154,17.0
155,27.0
156,10.0
157,23.0
158,13.0
159,16.0
160,3.0
161,17.0
162,14.0
163,25.0
164,11.0
165,30.0
166,19.0
167,27.0
168,8.0
169,29.0
170,21.0
171,34.0
172,13.0
173,31.0
174,18.0
175,23.0
176,5.0
177,22.0
178,17.0
179,29.0
180,12.0
181,31.0
182,19.0
183,26.0
184,7.0
185,23.0
186,16.0
187,25.0
188,9.0
189,20.0
190,11.0
191,13.0
192,2.0
193,13.0
194,11.0
195,20.0
196,9.0
197,25.0
198,16.0
199,23.0
200,7.0
201,26.0
202,19.0
203,31.0
204,12.0
205,29.0
206,17.0
207,22.0
208,5.0
209,23.0
210,18.0
211,31.0
212,13.0
213,34.0
214,21.0
215,29.0
216,8.0
217,27.0
218,19.0
219,30.0
220,11.0
221,25.0
222,14.0
223,17.0
224,3.0
225,16.0
226,13.0
227,23.0
228,10.0
229,27.0
230,17.0
231,24.0
232,7.0
233,25.0
234,18.0
235,29.0
236,11.0
237,26.0
238,15.0
239,19.0
240,4.0
241,17.0
242,13.0
243,22.0
244,9.0
245,23.0
246,14.0
247,19.0
248,5.0
249,16.0
250,11.0
251,17.0
252,6.0
253,13.0
254,7.0
255,8.0
256,1.0
257,9.0
258,8.0
259,15.0
260,7.0
261,20.0
262,13.0
263,19.0
264,6.0
265,23.0
266,17.0
267,28.0
268,11.0
269,27.0
270,16.0
271,21.0
272,5.0
273,24.0
274,19.0
275,33.0
276,14.0
277,37.0
278,23.0
279,32.0
280,9.0
281,31.0
282,22.0
283,35.0
284,13.0
285,30.0
286,17.0
287,21.0
288,4.0
289,23.0
290,19.0
291,34.0
292,15.0
293,41.0
294,26.0
295,37.0
296,11.0
297,40.0
298,29.0
299,47.0
300,18.0
301,43.0
302,25.0
303,32.0
304,7.0
305,31.0
306,24.0
307,41.0
308,17.0
309,44.0
310,27.0
311,37.0
312,10.0
313,33.0
314,23.0
315,36.0
316,13.0
317,29.0
318,16.0
319,19.0
320,3.0
321,20.0
322,17.0
323,31.0
324,14.0
325,39.0
326,25.0
327,36.0
328,11.0
329,41.0
330,30.0
331,49.0
332,19.0
333,46.0
334,27.0
335,35.0
336,8.0
337,37.0
338,29.0
339,50.0
340,21.0
341,55.0
342,34.0
343,47.0
344,13.0
345,44.0
346,31.0
347,49.0
348,18.0
349,41.0
350,23.0
